en.charel TEST_9999countAtTime0,1countAtTime1,2countAtTime3, 1234 mobile 123 A9999B1C2
en.wikipedia Ānanda 1735 desktop 3 P1V1W1
en.wikipedia Škovec,_Trebnje 30815184 desktop 1 I1
en.wikipedia ̌ 236552 desktop 3 E1F1G1
en.wikipedia ่ 63731 desktop 1 F1
en.wikipedia ∿ 324749 desktop 3 F1M1X1
en.wikipedia 🦥 5168174 desktop 2 F1S1
en.wikipedia - 1066347 desktop 2 O1P1
en.wikipedia - 111765 desktop 1 T1
es.charel 1234 abcd desktop 1 T1
ar.wikipedia صاروخ_باليستي_عابر_للقارات 240808 desktop 1 F1
ar.wikipedia عصور_وسطى_متوسطة 471789 desktop 1 P1Q1
en.wikipedia Talk:H:IPA null desktop 2 J2
fi.wikipedia 1738 2250 desktop 1 S1
hi.wikipedia मलाना_हिल्स_हिमाचल 1186807 desktop 1 S1
zh.wikisource 第六届全国人民代表大会第三次会议关于批准《中华人民共和国政府和大不列颠及北爱尔兰联合王国政府关于香港问题的联合声明》的决定 650212 desktop 2 W2
als.wikipedia 808 64376 desktop 1 P1
als.wikipedia A desktop 1 I1
als.wikipedia Ada_Lovelace 51323 mobile-web 1 P1
th.wikipedia 23_สิงหาคม 12013 desktop 1 H1
jv.wikipedia 26_Juni 2278 desktop 1 F1
ja.wikipedia 10ギガビット・イーサネット 1194926 desktop 4 D2F1I1
ja.wikipedia 185 589222 desktop 1 F1
en.wikipedia B̤ē 4889214 desktop 6 F5I1
en.wikipedia 0-3-0 14287894 desktop 1 C1
en.wikipedia 10.9 31104124 mobile-web 1 X1
ar.wikipedia الأثر_الاقتصادي_لجائحة_فيروس_كورونا_2019–20 7429096 mobile-web 1 N1
